"TipLabel"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"Subisotoma_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Isotomidae"	"Subisotoma"	"Subisotoma sp."
"Dicranocentrus_wangi"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Dicranocentrus"	"Dicranocentrus wangi"
"Sinodicranocentrus_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Sinodicranocentrus"	"Sinodicranocentrus sp."
"Nothobrya_sertaneja"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Nothobrya"	"Nothobrya sertaneja"
"Orchesella_cincta"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Orchesella"	"Orchesella cincta"
"Orchesella_villosa"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Orchesella"	"Orchesella villosa"
"Orchesellides_sinensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Orchesellidae"	"Orchesellides"	"Orchesellides sinensis"
"Cyphoderus_albinus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Cyphoderus"	"Cyphoderus albinus"
"Paronellides_praefectus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Paronellides"	"Paronellides praefectus"
"Troglopedetes_dispersus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Troglopedetes"	"Troglopedetes dispersus"
"Trogolaphysa_sp_AM47"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Trogolaphysa"	"Trogolaphysa sp. AM47"
"Trogolaphysa_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Trogolaphysa"	"Trogolaphysa sp."
"Zhuqinia_jingwanae"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Zhuqinia"	"Zhuqinia jingwanae"
"Akabosia_matsudoensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Akabosia"	"Akabosia matsudoensis"
"Callyntrura_guangdongensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Callyntrura"	"Callyntrura guangdongensis"
"Callyntrura_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Callyntrura"	"Callyntrura sp."
"Salina_celebensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Paronellidae"	"Salina"	"Salina celebensis"
"Plutomurus_gul"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Plutomurus"	"Plutomurus gul"
"Pogonognathelus_flavensis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Pogonognathelus"	"Pogonognathelus flavensis"
"Pogonognathelus_longicornis"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Pogonognathelus"	"Pogonognathelus longicornis"
"Tomocerus_maximus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Tomocerus"	"Tomocerus maximus"
"Tomocerus_nigrus"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Tomocerus"	"Tomocerus nigrus"
"Tomocerus_qinae"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Tomocerus"	"Tomocerus qinae"
"Tomocerus_vulgaris"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Tomoceridae"	"Tomocerus"	"Tomocerus vulgaris"
"Megalothorax_incertus"	"Animalia"	"Arthropoda"	"Collembola"	"Neelipleona"	"Neelidae"	"Megalothorax"	"Megalothorax incertus"
"Neelides_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Neelipleona"	"Neelidae"	"Neelides"	"Neelides sp."
"Neelus_murinus"	"Animalia"	"Arthropoda"	"Collembola"	"Neelipleona"	"Neelidae"	"Neelus"	"Neelus murinus"
"Brachystomella_parvula"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Brachystomellidae"	"Brachystomella"	"Brachystomella parvula"
"Ceratophysella_communis"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Hypogastruridae"	"Ceratophysella"	"Ceratophysella communis"
"Gomphiocephalus_hodgsoni"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Hypogastruridae"	"Gomphiocephalus"	"Gomphiocephalus hodgsoni"
"Friesea_antarctica"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Friesea"	"Friesea antarctica"
"Friesea_gretae"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Friesea"	"Friesea gretae"
"Friesea_grisea"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Friesea"	"Friesea grisea"
"Bilobella_aurantiaca"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Bilobella"	"Bilobella aurantiaca"
"Yuukianura_szeptyckii"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Yuukianura"	"Yuukianura szeptyckii"
"Pseudachorutes_palmiensis"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Neanuridae"	"Pseudachorutes"	"Pseudachorutes palmiensis"
"Allonychiurus_kimi"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Onychiuridae"	"Allonychiurus"	"Allonychiurus kimi"
"Orthonychiurus_folsomi"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Onychiuridae"	"Orthonychiurus"	"Orthonychiurus folsomi"
"Thalassaphorura_encarpata"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Onychiuridae"	"Thalassaphorura"	"Thalassaphorura encarpata"
"Thalassaphorura_orientalis"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Onychiuridae"	"Thalassaphorura"	"Thalassaphorura orientalis"
"Tetrodontophora_bielanensis"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Onychiuridae"	"Tetrodontophora"	"Tetrodontophora bielanensis"
"Podura_aquatica"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorpha"	"Poduridae"	"Podura"	"Podura aquatica"
"Acerentomon_microrhinus"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Acerentomidae"	"Acerentomon"	"Acerentomon microrhinus"
"Sinentomon_erythranum"	"Animalia"	"Arthropoda"	"Protura"	"Sinentomata"	"Sinentomidae"	"Sinentomon"	"Sinentomon erythranum"
"Bourletiella_arvalis"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Bourletiellidae"	"Bourletiella"	"Bourletiella arvalis"
"Pseudobourletiella_spinata"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Bourletiellidae"	"Pseudobourletiella"	"Pseudobourletiella spinata"
"Dicyrtomina_saundersi"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Dicyrtomidae"	"Dicyrtomina"	"Dicyrtomina saundersi"
"Ptenothrix_huangshanensis"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Dicyrtomidae"	"Ptenothrix"	"Ptenothrix huangshanensis"
"Allacma_fusca"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"Allacma"	"Allacma fusca"
"Sminthurus_viridis"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"Sminthurus"	"Sminthurus viridis"
"Lipothrix_lubbocki"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthuridae"	"Lipothrix"	"Lipothrix lubbocki"
"Sminthurides_aquaticus"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthurididae"	"Sminthurides"	"Sminthurides aquaticus"
"Sminthurides_bifidus"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Sminthurididae"	"Sminthurides"	"Sminthurides bifidus"
"Oncopodura_yosiiana"	"Animalia"	"Arthropoda"	"Collembola"	"Entomobryomorpha"	"Oncopoduridae"	"Oncopodura"	"Oncopodura yosiiana"
"Xenyllodes_armatus"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorha"	"Odontellidae"	"Xenyllodes"	"Xenyllodes armatus"
"Superodontella_alpina"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorha"	"Odontellidae"	"Superodontella"	"Superodontella alpina"
"Tullbergia_mediantarctica"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorha"	"Tullbergiidae"	"Tullbergia"	"Tullbergia mediantarctica"
"Tullbergia_mixta"	"Animalia"	"Arthropoda"	"Collembola"	"Poduromorha"	"Tullbergiidae"	"Tullbergia"	"Tullbergia mixta"
"Arrhopalites_hirtus"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Arrhopalitidae"	"Arrhopalites"	"Arrhopalites hirtus"
"Pygmarrhopalites_aggtelekiensis"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Arrhopalitidae"	"Pygmarrhopalites"	"Pygmarrhopalites aggtelekiensis"
"Pygmarrhopalites_pygmaeus"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Arrhopalitidae"	"Pygmarrhopalites"	"Pygmarrhopalites pygmaeus"
"Sminthurinus_elegans"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Katiannidae"	"Sminthurinus"	"Sminthurinus elegans"
"Sminthurinus_bimaculatus"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Katiannidae"	"Sminthurinus"	"Sminthurinus bimaculatus"
"Spinotheca_sp"	"Animalia"	"Arthropoda"	"Collembola"	"Symphypleona"	"Spinothecidae"	"Spinotheca"	"Spinotheca sp"
"Heterojapyx_sp"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Heterojapygidae"	"Heterojapyx"	"Heterojapyx sp"
"Parajapyx_pauliani"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Parajapygidae"	"Parajapyx"	"Parajapyx pauliani"
"Parajapyx_yangi"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Parajapygidae"	"Parajapyx"	"Parajapyx yangi"
"Parajapyx_isabellae"	"Animalia"	"Arthropoda"	"Diplura"	"Dicellurata"	"Parajapygidae"	"Parajapyx"	"Parajapyx isabellae"
"Anajapygidae_sp"	"Animalia"	"Arthropoda"	"Diplura"	"Rhabdura"	"Anajapygidae"	"Anajapygidae"	"Anajapygidae sp"
"Octostigma_sinensis"	"Animalia"	"Arthropoda"	"Diplura"	"Rhabdura"	"Octostigmatidae"	"Octostigma"	"Octostigma sinensis"
"Projapygidae_sp"	"Animalia"	"Arthropoda"	"Diplura"	"Rhabdura"	"Projapygidae"	"Projapygidae"	"Projapygidae sp"
"Hesperentomon_bolense"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Hesperentomidae"	"Hesperentomon"	"Hesperentomon bolense"
"Hesperentomon_pectigastrulum"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Hesperentomidae"	"Hesperentomon"	"Hesperentomon pectigastrulum"
"Hesperentomon_chinghaiense"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Hesperentomidae"	"Hesperentomon"	"Hesperentomon chinghaiense"
"Huhentomon_plicatunguis"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Hesperentomidae"	"Huhentomon"	"Huhentomon plicatunguis"
"Condeellum_ishiianum"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Protentomidae"	"Condeellum"	"Condeellum ishiianum"
"Neocondeellum_brachytarsum"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Protentomidae"	"Neocondeellum"	"Neocondeellum brachytarsum"
"Proturentomon_chinense"	"Animalia"	"Arthropoda"	"Protura"	"Acerentomata"	"Protentomidae"	"Proturentomon"	"Proturentomon chinense"
"Eosentomon_nivoculum"	"Animalia"	"Arthropoda"	"Protura"	"Eosentomata"	"Eosentomidae"	"Eosentomon"	"Eosentomon nivoculum"
"Anisentomon_chinense"	"Animalia"	"Arthropoda"	"Protura"	"Eosentomata"	"Eosentomidae"	"Anisentomon"	"Anisentomon chinense"
"Fujientomon_dicestum"	"Animalia"	"Arthropoda"	"Protura"	"Sinentomata"	"Fujientomidae"	"Fujientomon"	"Fujientomon dicestum"
"Andinentulus_rapoporti"	"Animalia"	"Arthropoda"	"Protura"	"Sinentomata"	"Acerentomidae"	"Andinentulus"	"Andinentulus rapoporti"
