cluster	numt
Linyphiidae_cluster143	FALSE
Linyphiidae_cluster144	FALSE
Linyphiidae_cluster145	TRUE
Linyphiidae_cluster146	FALSE
Linyphiidae_cluster147	FALSE
Linyphiidae_cluster148	FALSE
Linyphiidae_cluster149	TRUE
Linyphiidae_cluster15	FALSE
Linyphiidae_cluster150	FALSE
Linyphiidae_cluster151	FALSE
Linyphiidae_cluster152	FALSE
Linyphiidae_cluster153	TRUE
Linyphiidae_cluster154	TRUE
Linyphiidae_cluster155	FALSE
Linyphiidae_cluster156	FALSE
Linyphiidae_cluster157	FALSE
Linyphiidae_cluster158	FALSE
Linyphiidae_cluster159	TRUE
Linyphiidae_cluster16	FALSE
Linyphiidae_cluster160	FALSE
Linyphiidae_cluster161	FALSE
Linyphiidae_cluster162	FALSE
Linyphiidae_cluster163	FALSE
Linyphiidae_cluster164	FALSE
Linyphiidae_cluster165	FALSE
Linyphiidae_cluster166	FALSE
Linyphiidae_cluster167	TRUE
Linyphiidae_cluster168	FALSE
Linyphiidae_cluster169	FALSE
Linyphiidae_cluster17	FALSE
Linyphiidae_cluster170	FALSE
Linyphiidae_cluster171	TRUE
Linyphiidae_cluster172	FALSE
Linyphiidae_cluster173	FALSE
Linyphiidae_cluster174	FALSE
Linyphiidae_cluster175	FALSE
Linyphiidae_cluster176	FALSE
Linyphiidae_cluster177	FALSE
Linyphiidae_cluster178	FALSE
Linyphiidae_cluster179	FALSE
Linyphiidae_cluster18	FALSE
Linyphiidae_cluster180	FALSE
Linyphiidae_cluster181	FALSE
Linyphiidae_cluster182	FALSE
Linyphiidae_cluster183	TRUE
Linyphiidae_cluster184	FALSE
Linyphiidae_cluster185	FALSE
Linyphiidae_cluster186	FALSE
Linyphiidae_cluster187	FALSE
Linyphiidae_cluster188	FALSE
Linyphiidae_cluster189	FALSE
Linyphiidae_cluster19	FALSE
Linyphiidae_cluster190	FALSE
Linyphiidae_cluster191	FALSE
Linyphiidae_cluster192	FALSE
Linyphiidae_cluster193	TRUE
Linyphiidae_cluster194	FALSE
Linyphiidae_cluster195	TRUE
Linyphiidae_cluster196	TRUE
Linyphiidae_cluster197	FALSE
Linyphiidae_cluster198	FALSE
Linyphiidae_cluster199	TRUE
Linyphiidae_cluster2	FALSE
Linyphiidae_cluster20	FALSE
Linyphiidae_cluster200	TRUE
Linyphiidae_cluster201	TRUE
Linyphiidae_cluster202	TRUE
Linyphiidae_cluster203	TRUE
Linyphiidae_cluster21	FALSE
Linyphiidae_cluster22	FALSE
Linyphiidae_cluster23	FALSE
Linyphiidae_cluster24	FALSE
Linyphiidae_cluster25	FALSE
Linyphiidae_cluster26	FALSE
Linyphiidae_cluster27	FALSE
Linyphiidae_cluster28	FALSE
Linyphiidae_cluster29	FALSE
Linyphiidae_cluster3	FALSE
Linyphiidae_cluster30	FALSE
