cluster	numt
Curculionidae_cluster44	FALSE
Chrysomelidae_cluster49	FALSE
Coccinellidae_cluster5	FALSE
Staphylinidae_cluster50	FALSE
Staphylinidae_cluster52	FALSE
Coccinellidae_cluster30	FALSE
Staphylinidae_cluster82	FALSE
Staphylinidae_cluster136	FALSE
Chrysomelidae_cluster53	FALSE
Curculionidae_cluster58	FALSE
Chrysomelidae_cluster7	FALSE
Elateridae_cluster41	FALSE
Cantharidae_cluster49	TRUE
Elateridae_cluster32	TRUE
Chrysomelidae_cluster82	FALSE
Carabidae_cluster14	FALSE
Cerambycidae_cluster16	FALSE
Cantharidae_cluster29	FALSE
Staphylinidae_cluster65	FALSE
Chrysomelidae_cluster36	FALSE
Staphylinidae_cluster86	FALSE
Mordellidae_cluster5	FALSE
Staphylinidae_cluster95	FALSE
Coccinellidae_cluster34	FALSE
Curculionidae_cluster21	FALSE
Curculionidae_cluster70	FALSE
Cryptophagidae_cluster15	FALSE
Cerambycidae_cluster3	FALSE
Staphylinidae_cluster45	FALSE
Ripiphoridae_cluster1	FALSE
Curculionidae_cluster53	FALSE
Staphylinidae_cluster34	FALSE
Staphylinidae_cluster133	FALSE
Scirtidae_cluster19	TRUE
Oedemeridae_cluster1	FALSE
Elateridae_cluster5	FALSE
Cerambycidae_cluster18	FALSE
Scirtidae_cluster14	FALSE
Chrysomelidae_cluster20	FALSE
Staphylinidae_cluster105	FALSE
Latridiidae_cluster8	FALSE
Cantharidae_cluster26	FALSE
Cantharidae_cluster24	FALSE
Coccinellidae_cluster24	FALSE
Staphylinidae_cluster44	FALSE
Attelabidae_cluster1	FALSE
Staphylinidae_cluster54	FALSE
Cryptophagidae_cluster3	FALSE
Histeridae_cluster1	FALSE
Chrysomelidae_cluster19	FALSE
Endomychidae_cluster2	FALSE
Scarabaeidae_cluster7	TRUE
Cantharidae_cluster18	FALSE
Cantharidae_cluster38	FALSE
Leiodidae_cluster13	FALSE
Staphylinidae_cluster134	FALSE
unclassified.Coleoptera_cluster137	TRUE
Cantharidae_cluster31	FALSE
Staphylinidae_cluster201	FALSE
Lycidae_cluster1	FALSE
unclassified.Coleoptera_cluster24	FALSE
Latridiidae_cluster9	FALSE
Curculionidae_cluster94	TRUE
Chrysomelidae_cluster94	TRUE
Rhadalidae_cluster3	FALSE
Staphylinidae_cluster1	FALSE
Scirtidae_cluster10	FALSE
Staphylinidae_cluster71	FALSE
Curculionidae_cluster43	FALSE
Cryptophagidae_cluster7	FALSE
Staphylinidae_cluster18	FALSE
Apionidae_cluster1	FALSE
Staphylinidae_cluster159	FALSE
Nitidulidae_cluster10	FALSE
Curculionidae_cluster40	FALSE
Monotomidae_cluster2	FALSE
Curculionidae_cluster76	FALSE
Coccinellidae_cluster14	FALSE
unclassified.Coleoptera_cluster15	FALSE
Chrysomelidae_cluster33	FALSE
unclassified.Coleoptera_cluster56	TRUE
Curculionidae_cluster42	FALSE
Staphylinidae_cluster124	FALSE
Chrysomelidae_cluster95	TRUE
Elateridae_cluster6	FALSE
Curculionidae_cluster12	FALSE
Curculionidae_cluster11	FALSE
Elateridae_cluster14	FALSE
Oedemeridae_cluster5	FALSE
Cantharidae_cluster41	FALSE
Nitidulidae_cluster5	FALSE
Staphylinidae_cluster245	TRUE
Elateridae_cluster7	FALSE
Cerambycidae_cluster9	FALSE
Chrysomelidae_cluster15	FALSE
Carabidae_cluster18	FALSE
Nitidulidae_cluster3	FALSE
Leiodidae_cluster12	FALSE
Salpingidae_cluster4	FALSE
unclassified.Coleoptera_cluster22	FALSE
Corylophidae_cluster9	FALSE
Staphylinidae_cluster246	FALSE
Latridiidae_cluster14	FALSE
Elateridae_cluster17	FALSE
Scirtidae_cluster11	FALSE
Elateridae_cluster23	FALSE
Cerambycidae_cluster7	FALSE
Cryptophagidae_cluster8	FALSE
Cryptophagidae_cluster10	FALSE
Curculionidae_cluster91	FALSE
Rhadalidae_cluster1	FALSE
Scarabaeidae_cluster2	FALSE
Staphylinidae_cluster78	FALSE
Chrysomelidae_cluster37	FALSE
unclassified.Coleoptera_cluster17	FALSE
Staphylinidae_cluster131	FALSE
Chrysomelidae_cluster46	FALSE
Apionidae_cluster4	FALSE
Chrysomelidae_cluster109	FALSE
Cantharidae_cluster28	FALSE
Ptinidae_cluster1	FALSE
Melyridae_cluster7	FALSE
Mordellidae_cluster4	FALSE
Scirtidae_cluster15	FALSE
Chrysomelidae_cluster51	FALSE
Throscidae_cluster6	TRUE
Carabidae_cluster2	FALSE
Cantharidae_cluster20	FALSE
Chrysomelidae_cluster13	FALSE
Chrysomelidae_cluster22	FALSE
Mordellidae_cluster1	FALSE
Coccinellidae_cluster26	FALSE
Curculionidae_cluster36	FALSE
Coleoptera_X_cluster1	FALSE
Staphylinidae_cluster96	FALSE
Staphylinidae_cluster97	FALSE
Staphylinidae_cluster92	FALSE
Eucnemidae_cluster1	FALSE
Coccinellidae_cluster41	FALSE
unclassified.Coleoptera_cluster37	TRUE
Staphylinidae_cluster22	FALSE
Cerambycidae_cluster5	FALSE
Staphylinidae_cluster37	FALSE
Chrysomelidae_cluster26	FALSE
Staphylinidae_cluster107	FALSE
Melyridae_cluster8	FALSE
Staphylinidae_cluster103	FALSE
Ptiliidae_cluster6	FALSE
Chrysomelidae_cluster65	FALSE
