"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Orthoptera"	1	13	FALSE	"wdadn"	4	1431	1216	27	7	13	2	0.259259259259259	0.153846153846154
"Orthoptera"	2	14	FALSE	"wdadn"	4	1431	1216	27	7	13	3	0.259259259259259	0.230769230769231
"Orthoptera"	3	15	FALSE	"wdadn"	4	1431	1215	27	8	13	2	0.296296296296296	0.153846153846154
"Orthoptera"	4	16	FALSE	"wdadn"	4	1431	1214	27	8	13	2	0.296296296296296	0.153846153846154
"Orthoptera"	5	17	FALSE	"wdadn"	4	1431	1216	27	8	13	2	0.296296296296296	0.153846153846154
"Orthoptera"	6	18	FALSE	"wdadn"	4	1431	1215	27	8	13	2	0.296296296296296	0.153846153846154
"Coleoptera"	1	13	FALSE	"wdadn"	4	3107	745	1698	35	233	49	0.0206124852767962	0.210300429184549
"Coleoptera"	2	14	FALSE	"wdadn"	4	3107	742	1698	35	233	47	0.0206124852767962	0.201716738197425
"Coleoptera"	3	15	FALSE	"wdadn"	4	3107	725	1698	39	233	66	0.0229681978798587	0.283261802575107
"Coleoptera"	4	16	FALSE	"wdadn"	4	3107	726	1698	39	233	59	0.0229681978798587	0.253218884120172
"Coleoptera"	5	17	FALSE	"wdadn"	4	3107	726	1698	40	233	66	0.0235571260306243	0.283261802575107
"Coleoptera"	6	18	FALSE	"wdadn"	4	3107	727	1698	40	233	59	0.0235571260306243	0.253218884120172
"Entomobryomorpha"	1	13	FALSE	"wdadn"	4	976	586	193	23	82	28	0.119170984455959	0.341463414634146
"Entomobryomorpha"	2	14	FALSE	"wdadn"	4	976	586	193	24	82	28	0.124352331606218	0.341463414634146
"Entomobryomorpha"	3	15	FALSE	"wdadn"	4	976	567	193	20	82	32	0.103626943005181	0.390243902439024
"Entomobryomorpha"	4	16	FALSE	"wdadn"	4	976	572	193	19	82	33	0.0984455958549223	0.402439024390244
"Entomobryomorpha"	5	17	FALSE	"wdadn"	4	976	568	193	20	82	32	0.103626943005181	0.390243902439024
"Entomobryomorpha"	6	18	FALSE	"wdadn"	4	976	573	193	19	82	33	0.0984455958549223	0.402439024390244
"Hemiptera"	1	13	FALSE	"wdadn"	4	2142	505	878	28	116	22	0.0318906605922551	0.189655172413793
"Hemiptera"	2	14	FALSE	"wdadn"	4	2142	504	878	28	116	21	0.0318906605922551	0.181034482758621
"Hemiptera"	3	15	FALSE	"wdadn"	4	2142	507	878	27	116	27	0.030751708428246	0.232758620689655
"Hemiptera"	4	16	FALSE	"wdadn"	4	2142	510	878	27	116	27	0.030751708428246	0.232758620689655
"Hemiptera"	5	17	FALSE	"wdadn"	4	2142	509	878	27	116	26	0.030751708428246	0.224137931034483
"Hemiptera"	6	18	FALSE	"wdadn"	4	2142	513	878	27	116	26	0.030751708428246	0.224137931034483
"Lepidoptera"	1	13	FALSE	"wdadn"	4	1968	215	1587	18	47	12	0.0113421550094518	0.25531914893617
"Lepidoptera"	2	14	FALSE	"wdadn"	4	1968	220	1587	21	47	11	0.0132325141776938	0.234042553191489
"Lepidoptera"	3	15	FALSE	"wdadn"	4	1968	219	1587	19	47	10	0.0119722747321991	0.212765957446809
"Lepidoptera"	4	16	FALSE	"wdadn"	4	1968	223	1587	21	47	10	0.0132325141776938	0.212765957446809
"Lepidoptera"	5	17	FALSE	"wdadn"	4	1968	219	1587	19	47	10	0.0119722747321991	0.212765957446809
"Lepidoptera"	6	18	FALSE	"wdadn"	4	1968	223	1587	21	47	10	0.0132325141776938	0.212765957446809
"Dermaptera"	1	13	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	2	14	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	3	15	FALSE	"wdadn"	4	9	1	5	0	0	0	0	NA
"Dermaptera"	4	16	FALSE	"wdadn"	4	9	1	5	0	0	0	0	NA
"Dermaptera"	5	17	FALSE	"wdadn"	4	9	1	5	0	0	0	0	NA
"Dermaptera"	6	18	FALSE	"wdadn"	4	9	1	5	0	0	0	0	NA
"Plecoptera"	1	13	FALSE	"wdadn"	4	64	25	38	4	9	2	0.105263157894737	0.222222222222222
"Plecoptera"	2	14	FALSE	"wdadn"	4	64	25	38	4	9	2	0.105263157894737	0.222222222222222
"Plecoptera"	3	15	FALSE	"wdadn"	4	64	27	38	6	9	2	0.157894736842105	0.222222222222222
