"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"duplicate_bin_records"	"remaining_dups"	"remaining_dup_records"	"false_pos"	"false_neg"	"finbol_clusters"	"removed_finbol_clusters"	"spp_in_known"	"found_spp_in_known"	"clusters_in_known"	"spurious"	"remaining_spurious"	"false_pos_finbol"	"false_neg_spurious"	"false_pos_comb"	"false_neg_comb"
"Mecoptera"	3	15	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	4	16	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	5	17	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	6	18	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	7	19	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	8	20	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	9	21	"False"	"wdadn"	4	8	2	5	0	0	0	0	0	0	NA	4	0	2	1	4	0	0	0	NA	0	NA
"Mecoptera"	10	22	"False"	"wdadn"	4	8	2	5	0	0	0	0	0	0	NA	4	0	2	1	4	0	0	0	NA	0	NA
"Mecoptera"	11	23	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Mecoptera"	12	24	"False"	"wdadn"	4	8	3	5	1	0	0	0	0	0.2	NA	4	0	2	1	4	0	0	0	NA	0.111111111111111	NA
"Trichoptera"	1	13	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	2	14	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	3	15	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	4	16	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	5	17	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	6	18	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	7	19	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	8	20	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	9	21	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	10	22	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	11	23	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Trichoptera"	12	24	"False"	"wdadn"	4	389	23	156	4	5	6	0	0	0.0256410256410256	0	96	0	113	59	71	10	10	0	1	0.0158730158730159	0.666666666666667
"Thysanoptera"	1	13	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	2	14	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	3	15	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	4	16	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	5	17	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	6	18	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	7	19	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	8	20	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	9	21	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	10	22	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	11	23	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Thysanoptera"	12	24	"False"	"wdadn"	4	165	3	56	1	1	1	1	1	0.0178571428571429	1	0	0	0	0	0	0	0	NA	NA	0.0178571428571429	1
"Symphypleona"	1	13	"False"	"wdadn"	4	212	86	66	5	19	38	9	15	0.0757575757575758	0.473684210526316	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.5
"Symphypleona"	2	14	"False"	"wdadn"	4	212	86	66	5	19	38	8	14	0.0757575757575758	0.421052631578947	0	0	6	2	11	7	4	NA	0.571428571428571	0.0757575757575758	0.461538461538462
"Symphypleona"	3	15	"False"	"wdadn"	4	212	84	66	5	19	38	6	13	0.0757575757575758	0.315789473684211	0	0	6	2	11	7	5	NA	0.714285714285714	0.0757575757575758	0.423076923076923
