"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Odonata"	40	84	0.95	"mean"	0.05	TRUE	136	14	20	0	3	1	0	0.333333333333333
"Odonata"	41	84	0.9	"mean"	0.1	TRUE	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	42	84	0.9	"mean"	0.05	TRUE	136	14	20	0	3	1	0	0.333333333333333
"Odonata"	43	90	0.95	"mean"	0.1	TRUE	136	10	20	1	3	1	0.05	0.333333333333333
"Odonata"	44	95	0.95	"mean"	0.1	TRUE	136	2	20	0	3	3	0	1
"Megaloptera"	39	84	0.99	"mean"	0.1	TRUE	4	2	1	0	1	0	0	0
"Megaloptera"	40	84	0.95	"mean"	0.05	TRUE	4	2	1	0	1	0	0	0
"Megaloptera"	41	84	0.9	"mean"	0.1	TRUE	4	2	1	0	1	0	0	0
"Megaloptera"	42	84	0.9	"mean"	0.05	TRUE	4	2	1	0	1	0	0	0
"Megaloptera"	43	90	0.95	"mean"	0.1	TRUE	4	1	1	0	1	1	0	1
"Megaloptera"	44	95	0.95	"mean"	0.1	TRUE	4	1	1	0	1	1	0	1
"Poduromorpha"	39	84	0.99	"mean"	0.1	TRUE	432	164	86	4	40	23	0.0465116279069767	0.575
"Poduromorpha"	40	84	0.95	"mean"	0.05	TRUE	432	155	86	4	40	24	0.0465116279069767	0.6
"Poduromorpha"	41	84	0.9	"mean"	0.1	TRUE	432	166	86	5	40	23	0.0581395348837209	0.575
"Poduromorpha"	42	84	0.9	"mean"	0.05	TRUE	432	156	86	5	40	24	0.0581395348837209	0.6
"Poduromorpha"	43	90	0.95	"mean"	0.1	TRUE	432	160	86	4	40	24	0.0465116279069767	0.6
"Poduromorpha"	44	95	0.95	"mean"	0.1	TRUE	432	48	86	1	40	37	0.0116279069767442	0.925
"Strepsiptera"	39	84	0.99	"mean"	0.1	TRUE	8	0	7	0	0	0	0	NA
"Strepsiptera"	40	84	0.95	"mean"	0.05	TRUE	8	0	7	0	0	0	0	NA
"Strepsiptera"	41	84	0.9	"mean"	0.1	TRUE	8	0	7	0	0	0	0	NA
"Strepsiptera"	42	84	0.9	"mean"	0.05	TRUE	8	0	7	0	0	0	0	NA
"Strepsiptera"	43	90	0.95	"mean"	0.1	TRUE	8	0	7	0	0	0	0	NA
"Strepsiptera"	44	95	0.95	"mean"	0.1	TRUE	8	0	7	0	0	0	0	NA
"Siphonaptera"	39	84	0.99	"mean"	0.1	TRUE	13	0	3	0	0	0	0	NA
"Siphonaptera"	40	84	0.95	"mean"	0.05	TRUE	13	0	3	0	0	0	0	NA
"Siphonaptera"	41	84	0.9	"mean"	0.1	TRUE	13	0	3	0	0	0	0	NA
"Siphonaptera"	42	84	0.9	"mean"	0.05	TRUE	13	0	3	0	0	0	0	NA
"Siphonaptera"	43	90	0.95	"mean"	0.1	TRUE	13	0	3	0	0	0	0	NA
"Siphonaptera"	44	95	0.95	"mean"	0.1	TRUE	13	0	3	0	0	0	0	NA
"Zygentoma"	39	84	0.99	"mean"	0.1	TRUE	14	9	1	0	1	1	0	1
"Zygentoma"	40	84	0.95	"mean"	0.05	TRUE	14	7	1	0	1	1	0	1
"Zygentoma"	41	84	0.9	"mean"	0.1	TRUE	14	9	1	0	1	1	0	1
"Zygentoma"	42	84	0.9	"mean"	0.05	TRUE	14	7	1	0	1	1	0	1
"Zygentoma"	43	90	0.95	"mean"	0.1	TRUE	14	9	1	0	1	1	0	1
"Zygentoma"	44	95	0.95	"mean"	0.1	TRUE	14	3	1	0	1	1	0	1
"Neelipleona"	39	84	0.99	"mean"	0.1	TRUE	22	4	9	0	7	5	0	0.714285714285714
"Neelipleona"	40	84	0.95	"mean"	0.05	TRUE	22	3	9	0	7	5	0	0.714285714285714
"Neelipleona"	41	84	0.9	"mean"	0.1	TRUE	22	4	9	0	7	5	0	0.714285714285714
"Neelipleona"	42	84	0.9	"mean"	0.05	TRUE	22	3	9	0	7	5	0	0.714285714285714
"Neelipleona"	43	90	0.95	"mean"	0.1	TRUE	22	4	9	0	7	5	0	0.714285714285714
