"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Symphypleona"	9	9	FALSE	"wdadn"	3	239	106	70	6	24	10	0.0857142857142857	0.416666666666667
"Symphypleona"	10	10	FALSE	"wdadn"	3	239	115	70	7	24	7	0.1	0.291666666666667
"Symphypleona"	11	27	FALSE	"wdadn"	3	239	107	70	6	24	11	0.0857142857142857	0.458333333333333
"Symphypleona"	12	28	FALSE	"wdadn"	3	239	109	70	6	24	10	0.0857142857142857	0.416666666666667
"Trichoptera"	1	9	TRUE	"wdadn"	1.1	470	37	157	4	5	0	0.0254777070063694	0
"Trichoptera"	2	9	TRUE	"dadn"	1.8	470	37	157	4	5	0	0.0254777070063694	0
"Trichoptera"	3	10	TRUE	"wdadn"	1.1	470	38	157	4	5	0	0.0254777070063694	0
"Trichoptera"	4	10	TRUE	"dadn"	1.8	470	38	157	4	5	0	0.0254777070063694	0
"Trichoptera"	5	27	TRUE	"wdadn"	1.1	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	6	27	TRUE	"dadn"	1.8	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	7	28	TRUE	"wdadn"	1.1	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	8	28	TRUE	"dadn"	1.8	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	9	9	FALSE	"wdadn"	3	470	38	157	3	5	0	0.0191082802547771	0
"Trichoptera"	10	10	FALSE	"wdadn"	3	470	39	157	3	5	0	0.0191082802547771	0
"Trichoptera"	11	27	FALSE	"wdadn"	3	470	37	157	3	5	0	0.0191082802547771	0
"Trichoptera"	12	28	FALSE	"wdadn"	3	470	37	157	3	5	0	0.0191082802547771	0
"Mecoptera"	1	9	TRUE	"wdadn"	1.1	10	3	5	0	0	0	0	NA
"Mecoptera"	2	9	TRUE	"dadn"	1.8	10	3	5	0	0	0	0	NA
"Mecoptera"	3	10	TRUE	"wdadn"	1.1	10	4	5	1	0	0	0.2	NA
"Mecoptera"	4	10	TRUE	"dadn"	1.8	10	4	5	1	0	0	0.2	NA
"Mecoptera"	5	27	TRUE	"wdadn"	1.1	10	3	5	0	0	0	0	NA
"Mecoptera"	6	27	TRUE	"dadn"	1.8	10	3	5	0	0	0	0	NA
"Mecoptera"	7	28	TRUE	"wdadn"	1.1	10	3	5	0	0	0	0	NA
"Mecoptera"	8	28	TRUE	"dadn"	1.8	10	3	5	0	0	0	0	NA
"Mecoptera"	9	9	FALSE	"wdadn"	3	10	3	5	0	0	0	0	NA
"Mecoptera"	10	10	FALSE	"wdadn"	3	10	4	5	1	0	0	0.2	NA
"Mecoptera"	11	27	FALSE	"wdadn"	3	10	3	5	0	0	0	0	NA
"Mecoptera"	12	28	FALSE	"wdadn"	3	10	3	5	0	0	0	0	NA
"Raphidioptera"	1	9	TRUE	"wdadn"	1.1	5	0	3	0	0	0	0	NA
"Raphidioptera"	2	9	TRUE	"dadn"	1.8	5	0	3	0	0	0	0	NA
"Raphidioptera"	3	10	TRUE	"wdadn"	1.1	5	0	3	0	0	0	0	NA
"Raphidioptera"	4	10	TRUE	"dadn"	1.8	5	0	3	0	0	0	0	NA
"Raphidioptera"	5	27	TRUE	"wdadn"	1.1	5	0	3	0	0	0	0	NA
"Raphidioptera"	6	27	TRUE	"dadn"	1.8	5	0	3	0	0	0	0	NA
"Raphidioptera"	7	28	TRUE	"wdadn"	1.1	5	0	3	0	0	0	0	NA
