"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Psocodea"	36	84	0.9	"max"	0.05	TRUE	131	25	67	1	15	9	0.0149253731343284	0.6
"Psocodea"	37	90	0.95	"max"	0.1	TRUE	131	27	67	2	15	8	0.0298507462686567	0.533333333333333
"Psocodea"	38	95	0.95	"max"	0.1	TRUE	131	11	67	0	15	11	0	0.733333333333333
"Symphypleona"	33	84	0.99	"max"	0.1	TRUE	239	80	70	3	24	14	0.0428571428571429	0.583333333333333
"Symphypleona"	34	84	0.95	"max"	0.05	TRUE	239	79	70	3	24	15	0.0428571428571429	0.625
"Symphypleona"	35	84	0.9	"max"	0.1	TRUE	239	87	70	4	24	14	0.0571428571428571	0.583333333333333
"Symphypleona"	36	84	0.9	"max"	0.05	TRUE	239	82	70	3	24	15	0.0428571428571429	0.625
"Symphypleona"	37	90	0.95	"max"	0.1	TRUE	239	76	70	3	24	16	0.0428571428571429	0.666666666666667
"Symphypleona"	38	95	0.95	"max"	0.1	TRUE	239	26	70	1	24	20	0.0142857142857143	0.833333333333333
"Trichoptera"	33	84	0.99	"max"	0.1	TRUE	470	32	157	2	5	0	0.0127388535031847	0
"Trichoptera"	34	84	0.95	"max"	0.05	TRUE	470	31	157	2	5	1	0.0127388535031847	0.2
"Trichoptera"	35	84	0.9	"max"	0.1	TRUE	470	32	157	2	5	0	0.0127388535031847	0
"Trichoptera"	36	84	0.9	"max"	0.05	TRUE	470	31	157	2	5	1	0.0127388535031847	0.2
"Trichoptera"	37	90	0.95	"max"	0.1	TRUE	470	31	157	2	5	0	0.0127388535031847	0
"Trichoptera"	38	95	0.95	"max"	0.1	TRUE	470	11	157	0	5	3	0	0.6
"Mecoptera"	33	84	0.99	"max"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	34	84	0.95	"max"	0.05	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	35	84	0.9	"max"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	36	84	0.9	"max"	0.05	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	37	90	0.95	"max"	0.1	TRUE	10	3	5	0	0	0	0	NA
"Mecoptera"	38	95	0.95	"max"	0.1	TRUE	10	1	5	0	0	0	0	NA
"Raphidioptera"	33	84	0.99	"max"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	34	84	0.95	"max"	0.05	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	35	84	0.9	"max"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	36	84	0.9	"max"	0.05	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	37	90	0.95	"max"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Raphidioptera"	38	95	0.95	"max"	0.1	TRUE	5	0	3	0	0	0	0	NA
"Thysanoptera"	33	84	0.99	"max"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	34	84	0.95	"max"	0.05	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	35	84	0.9	"max"	0.1	TRUE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	36	84	0.9	"max"	0.05	TRUE	80	1	57	0	3	2	0	0.666666666666667
