"taxon"	"run"	"ee_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Lepidoptera"	8	20	FALSE	"wdadn"	4	1968	224	1587	21	47	10	0.0132325141776938	0.212765957446809
"Lepidoptera"	9	21	FALSE	"wdadn"	4	1968	215	1587	18	47	12	0.0113421550094518	0.25531914893617
"Lepidoptera"	10	22	FALSE	"wdadn"	4	1968	220	1587	21	47	11	0.0132325141776938	0.234042553191489
"Lepidoptera"	11	23	FALSE	"wdadn"	4	1968	223	1587	20	47	10	0.0126023944549464	0.212765957446809
"Lepidoptera"	12	24	FALSE	"wdadn"	4	1968	224	1587	21	47	10	0.0132325141776938	0.212765957446809
"Dermaptera"	7	19	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	8	20	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	9	21	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	10	22	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	11	23	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Dermaptera"	12	24	FALSE	"wdadn"	4	9	2	5	1	0	0	0.2	NA
"Plecoptera"	7	19	FALSE	"wdadn"	4	64	27	38	6	9	2	0.157894736842105	0.222222222222222
"Plecoptera"	8	20	FALSE	"wdadn"	4	64	27	38	6	9	2	0.157894736842105	0.222222222222222
"Plecoptera"	9	21	FALSE	"wdadn"	4	64	25	38	4	9	2	0.105263157894737	0.222222222222222
"Plecoptera"	10	22	FALSE	"wdadn"	4	64	25	38	4	9	2	0.105263157894737	0.222222222222222
"Plecoptera"	11	23	FALSE	"wdadn"	4	64	27	38	6	9	2	0.157894736842105	0.222222222222222
"Plecoptera"	12	24	FALSE	"wdadn"	4	64	27	38	6	9	2	0.157894736842105	0.222222222222222
"Psocodea"	7	19	FALSE	"wdadn"	4	131	31	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	8	20	FALSE	"wdadn"	4	131	31	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	9	21	FALSE	"wdadn"	4	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	10	22	FALSE	"wdadn"	4	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	11	23	FALSE	"wdadn"	4	131	31	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	12	24	FALSE	"wdadn"	4	131	31	67	2	15	7	0.0298507462686567	0.466666666666667
"Symphypleona"	7	19	FALSE	"wdadn"	4	239	105	70	5	24	8	0.0714285714285714	0.333333333333333
"Symphypleona"	8	20	FALSE	"wdadn"	4	239	106	70	5	24	8	0.0714285714285714	0.333333333333333
"Symphypleona"	9	21	FALSE	"wdadn"	4	239	98	70	4	24	11	0.0571428571428571	0.458333333333333
"Symphypleona"	10	22	FALSE	"wdadn"	4	239	98	70	4	24	10	0.0571428571428571	0.416666666666667
"Symphypleona"	11	23	FALSE	"wdadn"	4	239	102	70	5	24	8	0.0714285714285714	0.333333333333333
"Symphypleona"	12	24	FALSE	"wdadn"	4	239	103	70	5	24	8	0.0714285714285714	0.333333333333333
"Trichoptera"	7	19	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	8	20	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	9	21	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	10	22	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	11	23	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Trichoptera"	12	24	FALSE	"wdadn"	4	470	36	157	4	5	0	0.0254777070063694	0
"Mecoptera"	7	19	FALSE	"wdadn"	4	10	4	5	1	0	0	0.2	NA
"Mecoptera"	8	20	FALSE	"wdadn"	4	10	4	5	1	0	0	0.2	NA
"Mecoptera"	9	21	FALSE	"wdadn"	4	10	3	5	0	0	0	0	NA
"Mecoptera"	10	22	FALSE	"wdadn"	4	10	3	5	0	0	0	0	NA
"Mecoptera"	11	23	FALSE	"wdadn"	4	10	4	5	1	0	0	0.2	NA
"Mecoptera"	12	24	FALSE	"wdadn"	4	10	4	5	1	0	0	0.2	NA
"Raphidioptera"	7	19	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Raphidioptera"	8	20	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Raphidioptera"	9	21	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Raphidioptera"	10	22	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Raphidioptera"	11	23	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Raphidioptera"	12	24	FALSE	"wdadn"	4	5	0	3	0	0	0	0	NA
"Thysanoptera"	7	19	FALSE	"wdadn"	4	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	8	20	FALSE	"wdadn"	4	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	9	21	FALSE	"wdadn"	4	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	10	22	FALSE	"wdadn"	4	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Thysanoptera"	11	23	FALSE	"wdadn"	4	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	12	24	FALSE	"wdadn"	4	80	2	57	1	3	2	0.0175438596491228	0.666666666666667
"Psocoptera"	7	19	FALSE	"wdadn"	4	26	1	0	0	0	0	NA	NA
"Psocoptera"	8	20	FALSE	"wdadn"	4	26	1	0	0	0	0	NA	NA
"Psocoptera"	9	21	FALSE	"wdadn"	4	26	0	0	0	0	0	NA	NA
"Psocoptera"	10	22	FALSE	"wdadn"	4	26	1	0	0	0	0	NA	NA
"Psocoptera"	11	23	FALSE	"wdadn"	4	26	1	0	0	0	0	NA	NA
"Psocoptera"	12	24	FALSE	"wdadn"	4	26	1	0	0	0	0	NA	NA
"Neuroptera"	7	19	FALSE	"wdadn"	4	159	21	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	8	20	FALSE	"wdadn"	4	159	21	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	9	21	FALSE	"wdadn"	4	159	19	58	2	4	0	0.0344827586206897	0
"Neuroptera"	10	22	FALSE	"wdadn"	4	159	20	58	2	4	0	0.0344827586206897	0
"Neuroptera"	11	23	FALSE	"wdadn"	4	159	20	58	2	4	1	0.0344827586206897	0.25
"Neuroptera"	12	24	FALSE	"wdadn"	4	159	20	58	2	4	1	0.0344827586206897	0.25
"Ephemeroptera"	7	19	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	8	20	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	9	21	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	10	22	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	11	23	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	12	24	FALSE	"wdadn"	4	51	3	39	1	2	0	0.0256410256410256	0
"Odonata"	7	19	FALSE	"wdadn"	4	136	17	20	1	3	0	0.05	0
"Odonata"	8	20	FALSE	"wdadn"	4	136	17	20	1	3	0	0.05	0
"Odonata"	9	21	FALSE	"wdadn"	4	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	10	22	FALSE	"wdadn"	4	136	16	20	1	3	1	0.05	0.333333333333333
"Odonata"	11	23	FALSE	"wdadn"	4	136	17	20	1	3	0	0.05	0
"Odonata"	12	24	FALSE	"wdadn"	4	136	17	20	1	3	0	0.05	0
"Megaloptera"	7	19	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
"Megaloptera"	8	20	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
"Megaloptera"	9	21	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
"Megaloptera"	10	22	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
"Megaloptera"	11	23	FALSE	"wdadn"	4	4	2	1	0	1	0	0	0
