ASV	cluster	rep_asv
d8fc68c7215fb46647c47fe77553806a	Theridiidae_cluster29	d8fc68c7215fb46647c47fe77553806a
074137ba772e9b62e9e4a42b29dd77be	Anthomyiidae_cluster130	074137ba772e9b62e9e4a42b29dd77be
b8fe6325ba4544d2c44b3013dca4ab5c	Apionidae_cluster4	e92ae4bc154b33283fe6467777d2a151
4e3ff29b7c965bce7edc95f5b4d487c0	Erebidae_cluster19	4e3ff29b7c965bce7edc95f5b4d487c0
7bbbfa0b20a8c49f6ec70b524e193785	Miridae_cluster53	36797f3dd2a43359a44b1343e6c17351
8440c09befa3ff6645f834929bea1d3f	Geometridae_cluster108	7b88f0f46fc44d31e869db3af296706b
6d0f7cdd59dab85d36ddaa303ab227f8	Carabidae_cluster5	6d0f7cdd59dab85d36ddaa303ab227f8
3a61e26d652b5734231836a1bb60e6f8	Anthomyiidae_cluster45	3a61e26d652b5734231836a1bb60e6f8
8b5db487a6aeeacf6bef23fa68548129	Sphaeroceridae_cluster37	8b5db487a6aeeacf6bef23fa68548129
8e840f55936d798206ebb2cd1756691d	Simuliidae_cluster1	8e840f55936d798206ebb2cd1756691d
d9f52aa40de0e2df4355a37b2dc7e241	Vespidae_cluster4	d9f52aa40de0e2df4355a37b2dc7e241
8568a47aca06d0c4c646644ee0cfc93f	Cerambycidae_cluster1	8568a47aca06d0c4c646644ee0cfc93f
97da28ffe7c9dcb006516f099d4d7d2d	Nemouridae_cluster3	e74eb274cb3e396c7f4bca02283d7645
2dd9ef2154111b3fcafd2d1a4b9dc769	Dolichopodidae_cluster147	bac249e0d0f9f394beb978e611e57433
332fd909aace1009edc1d2ed18ffdf3b	Tortricidae_cluster103	332fd909aace1009edc1d2ed18ffdf3b
5c75a2f93b8b982ba91827f7c3b532b8	Ichneumonidae_cluster1340	5c75a2f93b8b982ba91827f7c3b532b8
8183a01d104b43023e11d7c24b8ef25a	Pipunculidae_cluster21	8183a01d104b43023e11d7c24b8ef25a
1035c2f7695c2747a962dabccdcaa0a4	Muscidae_cluster36	1035c2f7695c2747a962dabccdcaa0a4
553c257e50e7d3c462e84cb1a53cd66a	Anisopodidae_cluster2	4080f97cceb4c68e31fcb191afd9acb7
91160bdba10b547ef10c14217367aabb	Dolichopodidae_cluster5	0c80140c980df5e339a1ffd60f1729e4
6406a940a8728f5673cc57f7df17261d	Dryinidae_cluster19	6406a940a8728f5673cc57f7df17261d
cbc99daecb8067482ce52eb969347c22	Muscidae_cluster17	cbc99daecb8067482ce52eb969347c22
c0ce2310c64b88ece098d92e2c6a462f	Muscidae_cluster30	c0ce2310c64b88ece098d92e2c6a462f
0591acf19ad592e074f6c0d0cdef8c50	Lonchaeidae_cluster23	0591acf19ad592e074f6c0d0cdef8c50
5a1c43e77efca764ccc7d251b3cae108	Notodontidae_cluster1	55faa70992efe24b09c2cb179796cf4d
dd481b67edecacc8607e5316c7f468e1	Chironomidae_cluster813	9391574a07c263a0558aad2ad7c2a91a
6774dfe03a8302d0f9c9345666c55ef8	Coleophoridae_cluster9	4f499599073dfa1092dfd918c9bf1b16
987cc033db6a793e325467c9149ac2ea	Chrysomelidae_cluster22	987cc033db6a793e325467c9149ac2ea
4c22b1ac715dc0a8abde15ba78e42bb0	Hydroptilidae_cluster3	4c22b1ac715dc0a8abde15ba78e42bb0
f57b0f17f47ea46763e4768e04e98920	Sphaeroceridae_cluster60	d92ba4c9b0b7bfc1728d6bd80056876b
3536d76b9cbb7c91bcf8e8416c05a1c2	Ichneumonidae_cluster660	1826bf4c5c983bd1313adcd79ad003e7
5be0e4320041831a14cf4de9f4c31607	Crambidae_cluster39	5be0e4320041831a14cf4de9f4c31607
1ebf84abd438cbcfe6e9c1370bf3b711	Geometridae_cluster64	1ebf84abd438cbcfe6e9c1370bf3b711
0b4e428a554963ad5d3ccf7514d24e72	Staphylinidae_cluster97	84ccd3e47689ca7f58630a3b553d8d5f
bf7ae22f270464eae34df3ba38af9f8f	Coccinellidae_cluster35	bf7ae22f270464eae34df3ba38af9f8f
f53fb55741e316a05437ea69a0da1514	Gracillariidae_cluster9	f878bdf0b2d0d85cad9a5f11363b443f
