ASV	bitscore
2a1d532c8b9f8b4fdb297a4d993c0d61	252.4
c0b7e117311e757f578bdd89d3594def	253.7
c1f7440791aae5458dfb111260159b76	251.0
b47d5bf914a83fdea332959f03e665a8	243.7
3697043ad395d82f738c4d668659fc00	252.8
ae717abae4da06f175840a27d4c0b3be	244.9
ba24ff5cfc60cabc551496ef05df4b07	237.4
e82016d25fd0d3ecb97fa065ba92580f	251.0
81a08465f01abb578bc3954b1610e804	251.0
6ab39e52333e0cc9e5fb73b8306ed529	253.7
d8fee5438698a7994b64af581da9dfc4	246.0
d94b9e791f6f3695c777c56cbc8ef58e	241.0
efcdd905c7711a0ce169d4fd9de1fd8b	250.1
f5f002d40c70505e4be878bc515775bb	252.1
89ec927de5021bc3497b23044339601a	252.4
e7e3597206e43d161c11fbea8e697422	248.3
c9a3fadd3762ec23625a462c3c567cd8	252.2
cb4a60e480260648c759386738b085a4	251.2
a3126e135fee0b72af8133afdeffc29f	251.1
14678fe9e9b70e45d44c0e8dc23a2545	250.2
67cef7902e5506f579243679839f99ac	248.9
10c7db344c42d2db0bd1fe2cb1a5dd1a	252.0
8a6722ac1e846116df963ee18e214c4f	251.2
dfd7fbc72cda7178281330487dcd80b3	252.3
364223cbdd0f0c0a0169922c3a702a14	252.1
9229188308ec3aa7d02929a08a1c8466	247.0
9b7f093f0aa27de9efabe5c26794afcd	258.6
193a8fbc901c8ee1d522a617f5377f21	257.9
f4c8966287c02d0aaa092a6113e7f21f	255.1
72d43243636a77c9224fa6529f96b2ce	250.3
6ab105230a72efb1c10430c7b86cfc37	258.6
ee4f3e606f2c431033a0e7f17562b4ba	258.6
8a56d248fc95a61fcdf19dc67450c1ee	243.2
a4f29b71d342780392b16418c5f9d552	242.8
3575f92b50805ae66497974c45d81f76	258.6
0f160c52d6ad78051114d77b1a42cca8	256.3
cdc9d84cbe356e5bdd9d6010af43ab04	253.2
1133173fc65ce8045c484b2f168cd125	255.2
913a42c5488bf3bf0287f1b4a629022b	235.1
a8b479ca4c409707f40fba78ef669e31	245.5
539ccd10a69b95fff6e96a6d0f47861c	249.7
2e34201c70db907c8560e894174721f9	252.3
3da8b2d1f13d4f7655d6ec3bd9440d32	219.9
7ee62879cc138a810dd74ca0703f34d4	219.9
f7e1a2089979c494a14b59e2a8936375	256.4
d6b7bf709d386a43c656a442ab44b78e	250.3
4595d6ff329b88aa06b26966ec72b740	245.1
75154a9238d4482e4d3841dd27b0dafe	231.5
